input_adduct,corrected_adduct
[M+H-H2O],[M-H2O+H]+
[M-H2O+H],[M-H2O+H]+
[M+H-H2O]+,[M-H2O+H]+
[M-2H2O+H],[M-2H2O+H]+
[M+H-2H2O],[M-2H2O+H]+
[M+H-2H2O]+,[M-2H2O+H]+
[M+H+Na],[M+H+Na]2+
[M+H-NH3],[M+H-NH3]+
[M-H+2Na]+,[M+2Na-H]+
[M+ACN+H],[M+ACN+H]+
[M+H],[M+H]+
[M+2H],[M+2H]2+
[M+3H],[M+3H]3+
[M+Na],[M+Na]+
[M+K],[M+K]+
[2M+H],[2M+H]+
[2M+Na],[2M+Na]+
[2M+K],[2M+K]+
[M+NH4],[M+NH4]+
[M-H],[M-H]-
[M-H2O-H],[M-H2O-H]-
[M-H-H2O]-,[M-H2O-H]-
[M-H-H2O],[M-H2O-H]-
[M+H-CH3NH2],[M+H-CH3NH2]+
[M+Cl],[M+Cl]-
[M+Br],[M+Br]-
[3M-H],[3M-H]-
[2M-H],[2M-H]-
[M+CH3COO],[M+CH3COO]-
[M+FA-H],[M+FA-H]-
[M+OAc],[M+OAc]-
[M+Oac],[M+OAc]-
[M+Oac]-,[M+OAc]-
[M-H-/M-Ser]-,[M-H]-
[M-H-/M-Ser],[M-H]-
[M-H]-/[M-Ser]-,[M-H]-
[M-H]-/[M-Ser],[M-H]-
