adduct,ionmode,charge,mass_multiplier,correction_mass
[M+3H]3+,positive,3,0.3333333333333333,1.007276
[M+2H+Na]3+,positive,3,0.3333333333333333,8.33459
[M+H+2Na]3+,positive,3,0.3333333333333333,15.661906
[M+3Na]3+,positive,3,0.3333333333333333,22.989218
[M+2H]2+,positive,2,0.5,1.007276
[M+H+NH4]2+,positive,2,0.5,9.52055
[M+H+Na]2+,positive,2,0.5,11.998247
[M+H+K]2+,positive,2,0.5,19.985217
[M+ACN+2H]2+,positive,2,0.5,21.52055
[M+2Na]2+,positive,2,0.5,22.989218
[M+2ACN+2H]2+,positive,2,0.5,42.033823
[M+3ACN+2H]2+,positive,2,0.5,62.547097
[M+H]+,positive,1,1,1.007276
[M+H-NH3]+,positive,1,1,-16.019273
[M-H2O+H]+,positive,1,1,-17.003289
[M-2H2O+H]+,positive,1,1,-35.013854
[M+NH4]+,positive,1,1,18.033823
[M+Na]+,positive,1,1,22.989218
[M+CH3OH+H]+,positive,1,1,33.033489
[M+K]+,positive,1,1,38.963158
[M+ACN+H]+,positive,1,1,42.033823
[M+2Na-H]+,positive,1,1,44.97116
[M+IsoProp+H]+,positive,1,1,61.06479133
[M+ACN+Na]+,positive,1,1,64.015765
[M+2K-H]+,positive,1,1,76.91904
[M+DMSO+H]+,positive,1,1,79.02122
[M+2ACN+H]+,positive,1,1,83.06037
[M+IsoProp+Na+H]+,positive,1,1,84.05456061
[2M+H]+,positive,1,2,1.007276
[2M+NH4]+,positive,1,2,18.033823
[2M+Na]+,positive,1,2,22.989218
[2M+K]+,positive,1,2,38.963158
[2M+ACN+H]+,positive,1,2,42.033823
[2M+ACN+Na]+,positive,1,2,64.015765
[M-3H]3-,negative,-3,0.3333333333333333,-1.007276
[M-2H]2-,negative,-2,0.5,-1.007276
[M-H2O-H]-,negative,-1,1,-19.017841
[M-H]-,negative,-1,1,-1.007276
[M+Na-2H]-,negative,-1,1,20.974666
[M+Cl]-,negative,-1,1,34.969402
[M+K-2H]-,negative,-1,1,36.948606
[M+FA-H]-,negative,-1,1,44.998201
[M+Hac-H]-,negative,-1,1,59.013851
[M+Br]-,negative,-1,1,78.918885
[M+TFA-H]-,negative,-1,1,112.985586
[2M-H]-,negative,-1,2,-1.007276
[2M+FA-H]-,negative,-1,2,44.998201
[2M+Hac-H]-,negative,-1,2,59.013851
[3M-H]-,negative,-1,3,-1.007276
[M]-,negative,-1,1,0.00054857990924
[M-H-CO2-2HF]-,negative,-1,1,-85.00956208138076
[M-2H]-,negative,-1,1,-2.01510148455076
[M+CH3COO]-,negative,-1,1,59.01385291573924
[M-CH3]-,negative,-1,1,-15.022926516780759
[M+OAc]-,negative,-1,1,243.02321549947925
[M]+,positive,1,1,-0.00054857990924
[M+H-CH3NH2]+,positive,1,1,-30.034922713259242
[2M-2H+Na]-,negative,-1,2,20.97466779744924
