known_synonym,matchms_default
precursor_mass,precursor_mz
precursormass,precursor_mz
precursormz,precursor_mz
precursor,precursor_mz
precursor_type,adduct
precursorintensity,precursor_intensity
precursor_charge,charge
precursorcharge,charge
parentmass,parent_mass
exact_mass,parent_mass
exactmass,parent_mass
name,compound_name
compoundname,compound_name
ion_mode,ionmode
ionpolarity,ionmode
ionpol,ionmode
retentiontime,retention_time
rt,retention_time
rt_query,retention_time
rettime,retention_time
rtinseconds,retention_time
retentionindex,retention_index
ri,retention_index
collisionenergy,collision_energy
colenergy,collision_energy
collisiongas,collision_gas
filename,file_name
spectrumid,spectrum_id
compound_type,compound_class
pi,principal_investigator
datacollector,data_collector
submituser,submit_user
ionimethod,ionization
pressure,column_pressure
column,column_name
columnname,column_name
numpeaks,num_peaks
isolwidth,isolation_window_target_mz
isolationwidth,isolation_window_target_mz
isolation_width,isolation_window_target_mz
peakwidth,peak_width
targetgas,target_gas
targetgaspressure,target_gas_pressure
targetgaspres,target_gas_pressure
reagention,reagent_ion
reagentgaspressure,reagent_gas_pressure
reagentgaspres,reagent_gas_pressure
massrange,mass_range_mz
massrangemz,mass_range_mz
mass_range,mass_range_mz
